Frame,Timestamp,PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
28,1674856644739.5798,-24994.575757575763,-20079.60606060606,77458.24242424242,78725.09090909091,12061.69696969697,-26236.848484848488,1.45000004768,1.57000005245,4.0353645615523925,-18.874934835843167,3.620004871368072,5.7259200208681245,-9.792131679211975,-7.657753753049749
29,1674856644772.9102,-25025.849056603773,-20820.867924528302,77794.52830188679,79149.28301886794,11666.67924528302,-26531.2641509434,1.45000004768,1.57000005245,0.8391630867696639,-16.436881569578276,5.507031396723643,7.604541983687976,-8.639422502300425,-6.9479619248842495
30,1674856644806.24,-25164.14814814815,-21605.74074074074,78240.92592592593,79555.48148148147,11287.592592592593,-26894.66666666667,1.45000004768,1.57000005245,-1.545639161941734,-19.24831951192216,8.899144230515184,10.000802560625838,-9.80804585817386,-8.341499229975005
31,1674856644839.5698,-25168.764705882357,-22126.588235294126,78611.17647058824,79780.5294117647,11022.176470588234,-27101.64705882353,1.45000004768,1.57000005245,-1.7420677846950492,-20.47186229949077,11.530501675852243,10.55543099770227,-10.396238523928924,-8.648850568946349
32,1674856644872.9,-24917.884615384613,-22966.269230769238,79533.28846153848,80198.44230769231,10377.403846153846,-27429.865384615387,1.45000004768,1.57000005245,1.0797393869373237,-21.456204038687577,17.38935959554307,10.492663801163918,-12.89406038662554,-8.986931747251331
33,1674856644906.23,-24659.25,-23979.75,80679.08333333331,80768.66666666669,9502.916666666666,-27833.5,1.45000004768,1.57000005245,5.0494742560395265,-23.742449343176336,24.383982443166303,12.133053205062453,-17.848521720656922,-9.389265415072305
34,1674856644939.5598,-24510.424242424244,-24769.727272727272,81603.57575757576,81261.54545454546,8858.60606060606,-28252.363636363636,1.45000004768,1.57000005245,6.58405851051353,-26.434029688281512,29.926983145779698,14.811642980628134,-21.637864368186786,-11.508320316516924
35,1674856644972.89,-24332.35416666667,-25728.8125,83139.29166666669,82062.41666666669,8004.6875,-28788.10416666667,1.45000004768,1.57000005245,5.855887252637419,-27.628188623341178,36.06362160828636,18.641600161820282,-23.729527993929455,-13.583745039824365
36,1674856645006.22,-24175.222222222223,-26368.555555555562,84381.55555555556,82631.55555555556,7466.777777777777,-29220.33333333333,1.45000004768,1.57000005245,4.840761409852688,-23.89044647270728,37.02840599645222,18.630744400832395,-20.363424700255116,-13.869718479738543
37,1674856645039.55,-23993.65,-26871.05,85594.45,83110.925,7043.5,-29633.125,1.4205500304660001,1.57000005245,5.168247135876789,-21.01527954612045,39.912640143006335,18.495601665645633,-18.152833343691828,-13.808962167825342
38,1674856645072.88,-23731.653061224493,-27863.020408163262,87950.26530612246,84009.5306122449,6236.367346938776,-30385.224489795917,1.4128775864191836,1.57000005245,6.007616927005931,-21.344236141403996,48.11460764989314,19.47310694913345,-17.68498770256038,-15.972818168012028
39,1674856645106.21,-23510.772727272728,-28742.5,89906.04545454547,84730.31818181818,5662.818181818182,-30998.227272727272,1.38900005817,1.57000005245,6.645163082445838,-23.741835644792257,55.25046710650958,20.98974186485598,-18.041416939086723,-17.780730884635236
40,1674856645139.54,-23534.08,-29259.68,91101.04,85200.4,5341.52,-31425.6,1.3625999784507998,1.5700000524499995,4.596168035778361,-23.888705543111396,55.07145063453313,20.8968565313964,-17.021521380315104,-17.92655573140348
41,1674856645172.87,-23739.905660377357,-29976.7358490566,92897.2075471698,86030.18867924529,4772.830188679245,-32043.754716981133,1.3589999675799995,1.57000005245,-0.08253405149460284,-21.139218785767934,49.47425388057902,20.20855416162124,-14.63680095768884,-16.58692208846236
