PSML_position_x,PSML_position_y,PSML_position_z,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSML_gripper_angle,PSMR_gripper_angle,Trackstar time,True frame #,Frame,Timestamp,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z
263.5375,65.18675,-138.243,370.6935,-137.18200000000002,-132.9405,0.12210541511638826,0.15527237832441734,1674859394.313,4306,4017,1674859394314.3333,-0.009489998632928738,0.002791002727077443,-0.008929997302359135,0.0016699959106741035,-0.003344995898487722,0.005025004101612428
263.4815,65.24255000000001,-138.3545,370.8055,-137.1265,-132.885,0.12149927618612875,0.15351002072663625,1674859394.346,4307,4018,1674859394347.6667,-0.0067000122559097005,0.002791002727077585,-0.0067000081909777106,0.001674995886260042,-0.0011150067871062985,0.004465006835974245
263.4255,65.29835,-138.4105,370.8055,-137.1265,-132.9965,0.12454808993137526,0.15351689833838295,1674859394.3828,4308,4019,1674859394381.0,-0.004470006811560339,0.0022325013635487996,-0.00446500273442169,0.001674995886260042,-0.0011150067871062985,0.0022350013916248843
263.37,65.29835,-138.466,370.861,-137.0705,-133.05200000000002,0.1237219611290756,0.15220557603809662,1674859394.4158,4309,4020,1674859394414.3333,-0.0016749999878133664,0.0011159986377119507,-0.0022299972778653866,0.0016749958862606103,0.0011149986572430626,-0.0011150067871063844
263.3145,65.40995,-138.5775,370.9165,-137.015,-133.1085,0.12374872350029655,0.15196437886650088,1674859394.4489,4310,4021,1674859394447.6667,-0.0016700000122268595,0.001673995913115787,-0.002229997277865102,0.0011099986450359204,0.0011149986572430626,-0.0022350013183827506
262.97950000000003,65.52154999999999,-139.024,370.9725,-136.903,-133.2195,0.12375584270112942,0.15211816680873955,1674859394.482,4311,4022,1674859394481.0,-0.00446000682376689,0.00223199727542385,-0.006135006811579813,0.0016700000122271583,0.0022350013916246857,-0.002230001306175808
262.3655,65.74485,-139.86149999999998,370.9725,-136.792,-133.387,0.12458680290329285,0.1513647662316371,1674859394.5151,4312,4023,1674859394514.3333,-0.010045020459054463,0.004465002727097405,-0.013955025903423122,0.0011149986572434316,0.00278500273440147,-0.003350004040557147
261.69599999999997,65.91225,-141.0335,371.0285,-136.736,-133.44299999999998,0.12769370897220564,0.153002743588705,1674859394.5481,4313,4024,1674859394547.6667,-0.01618499047873243,0.005023000002501383,-0.024559974121449873,0.0011199986328293702,0.002790002709987409,-0.003345004064971208
260.97,65.91225,-142.261,371.0845,-136.736,-133.499,0.12947156928444095,0.1535994721032905,1674859394.5812,4314,4025,1674859394581.0,-0.020095000024653798,0.003906997277885399,-0.03236999318887901,0.0011199986328288018,0.0016699999756057855,-0.002795002722194424
260.524,65.85645,-143.154,371.0285,-136.68,-133.55450000000002,0.12739805926114814,0.15227640861453934,1674859394.6143,4315,4026,1674859394614.3333,-0.018414995923081223,0.0011159904639037814,-0.032924994543863016,0.0005599972656381322,0.0011199986328290013,-0.001674999987813085
260.29999999999995,65.74485,-143.71200000000002,370.9725,-136.736,-133.6105,0.12739805926114806,0.1535927142294908,1674859394.6474,4316,4027,1674859394647.6667,-0.01396001767590488,-0.001673995913115826,-0.02678502452418534,-0.0005599972656382341,4.101552350937547e-09,-0.001674999987813085
259.9095,65.74485,-144.32600000000005,370.9725,-136.792,-133.6665,0.13270429035075115,0.15211816680873896,1674859394.6804,4317,4028,1674859394681.0,-0.010605009484967239,-0.001673995913115826,-0.020650009546121836,-0.0011199986328289037,-0.0005599972656386029,-0.001674999987813085
259.3515,65.74485,-145.10750000000004,370.9725,-136.8475,-133.6665,0.13269701897037045,0.14990534714073073,1674859394.7135,4318,4029,1674859394714.3333,-0.01172501221934858,-0.0011159945508077628,-0.01953500682394715,-0.0005599972656382341,-0.001674999987812999,-0.0011199986328290742
258.9055,65.68905000000001,-145.833,370.9165,-136.9035,-133.6665,0.13147643467688766,0.1475189519215602,1674859394.7466,4319,4030,1674859394747.6667,-0.013945001379556989,-0.0005579972754037847,-0.021209998645275476,-0.0005599972656388025,-0.0016749999878132834,-0.0005600013671908909
258.5145,65.68905000000001,-146.5025,370.861,-136.959,-133.6665,0.13155744069026296,0.1454603724986026,1674859394.7797,4320,4031,1674859394781.0,-0.0139500013917645,-0.0005579972754037847,-0.02176500000025892,-0.0011149986206225294,-0.0016699999756060561,6.288372600415926e-17
258.347,65.6332,-146.7815,370.861,-137.0705,-133.6665,0.13046393544040433,0.14544045214495474,1674859394.8127,4321,4032,1674859394814.3333,-0.010044991858050072,-0.0011164986389325705,-0.01673998773216259,-0.0011149986206225294,-0.0022300013427970096,6.288372600415926e-17
258.2915,65.57735,-146.7815,370.805,-137.1265,-133.55450000000002,0.1327755633305912,0.14336899672295347,1674859394.8495,4322,4033,1674859394847.6667,-0.006140010925340038,-0.0011169986364913348,-0.009485023156794762,-0.0011149986206219608,-0.0022300013427967256,0.0011199945312767134
258.2915,65.57735,-146.7815,370.805,-137.29399999999998,-133.3875,0.1327755633305912,0.14638738599754442,1674859394.8826,4323,4034,1674859394881.0,-0.0022300013794180986,-0.0011169986364913348,-0.0027900068115400203,-0.000559997265638234,-0.0033500040771783485,0.0027899986084354046
258.2915,65.6332,-146.7815,370.6935,-137.40550000000002,-133.2755,0.13056950752466842,0.14636891886753178,1674859394.9156,4324,4035,1674859394914.3333,-0.0005549972900524641,4.090566236575564e-09,1.0408340855860843e-17,-0.001674999987813199,-0.003350004077178633,0.003910001342817028
258.2915,65.68905000000001,-146.726,370.6935,-137.517,-133.164,0.13359358601279636,0.14040079227257268,1674859394.9487,4325,4036,1674859394947.6667,0.0,0.0011169986364914376,0.0005549972900522551,-0.0011150027221750157,-0.0039050013672308776,0.0039050013672310897
258.2915,65.68905000000001,-146.726,370.6935,-137.57299999999998,-132.9965,0.13359358601279636,0.1355816833148515,1674859394.9818,4326,4037,1674859394981.0,0.0,0.0011169986364914376,0.0005549972900522551,-0.0011150027221750157,-0.0027899986450561965,0.003910001379437748
258.2915,65.74485,-146.61450000000005,370.6935,-137.517,-132.9405,0.13139831272078373,0.1373816563666462,1674859395.0149,4327,4038,1674859395014.3333,0.0,0.0011164986352705727,0.0016700000122263673,0.0,-0.0011149945556905624,0.003350000012247079
258.2915,65.74485,-146.61450000000005,370.6935,-137.5175,-132.9965,0.13139831272078373,0.14258274538158194,1674859395.0479,4328,4039,1674859395047.6667,0.0,0.0005580013623079722,0.0011150027221741227,0.0,-4.999975586357248e-06,0.0016750081909178993
258.2915,65.6332,-146.447,370.6935,-137.57299999999998,-132.9965,0.1322197431753561,0.1447990880975622,1674859395.081,4329,4040,1674859395081.0,0.0,-0.0005585013635287344,0.002790006811540041,0.0,3.6620869748107965e-11,4.101552549274264e-09
258.2915,65.6332,-146.279,370.7495,-137.5175,-132.9965,0.13305454760597185,0.14242332397919755,1674859395.1141,4330,4041,1674859395114.3333,0.0,-0.0011165027258366554,0.0033550081909385064,0.0005600013671911871,-4.999975586357248e-06,-0.0005599972656384046
258.2355,65.68900000000001,-145.945,370.7495,-137.4615,-132.9965,0.13096648108311695,0.1401873889134757,1674859395.1472,4331,4042,1674859395147.6667,-0.0005599972656384027,-0.0005585054504326771,0.00669499188242442,0.0005600013671911871,0.0005599972656383327,6.273916571449452e-17
258.291,65.74485,-145.77700000000002,370.7495,-137.40550000000002,-133.0525,0.13412029706906176,0.1476465315502972,1674859395.1802,4332,4043,1674859395181.0,-4.995910654675842e-06,0.001116498638932673,0.006699991894630795,0.0005600013671911871,0.0016749999878124448,-0.0005600013671908912
258.347,65.74485,-145.554,370.8055,-137.40550000000002,-133.108,0.13400505884416364,0.14823899763897413,1674859395.2133,4333,4044,1674859395214.3333,0.0005550054565359937,0.001116498638932673,0.0072499932374075786,0.0005600013671906186,0.0011199986328290024,-0.001115002722174618
258.403,65.80065,-145.3865,370.861,-137.4055,-133.164,0.13275956180120554,0.15357812514525646,1674859395.2464,4334,4045,1674859395247.6667,0.0016749999878129284,0.001116498638932673,0.00558500136725056,0.0011149986572428633,0.0005600013671908193,-0.001674999987812801
258.4585,65.85645,-145.219,370.9165,-137.3495,-133.2755,0.1340060677368614,0.15565478181859566,1674859395.2794,4335,4046,1674859395281.0,0.0016749999878129284,0.0011159986377119503,0.005580001355043902,0.00167000001222659,0.0005600013671908194,-0.002230001342796528
258.57050000000004,65.91225,-144.8285,370.9725,-137.3495,-133.2755,0.1326452112972663,0.1555058676858212,1674859395.3125,4336,4047,1674859395314.3333,0.0022350013550041666,0.0016740000000200134,0.007255005444409252,0.0016700000122271588,0.0005600013671908194,-0.001674999987812801
258.7935,66.07965,-144.2145,371.0845,-137.3495,-133.2755,0.13378157997670773,0.1555058676858212,1674859395.3493,4337,4048,1674859395347.6667,0.0039049932007462706,0.002789994550827828,0.01171998364275804,0.00223499725345128,0.0005600013671905351,-0.001115002722174618
259.01700000000005,66.19135,-143.768,371.1405,-137.2935,-133.33100000000002,0.13191706868559494,0.15714540302736232,1674859395.3823,4338,4049,1674859395381.0,0.005584997302319416,0.003348995915577336,0.014509990454297787,0.002239997265658223,0.0005600013671908194,-0.0005550013549839482
258.961,66.30295,-143.3775,371.2515,-137.3495,-133.33100000000002,0.13100060795712604,0.1549078282869742,1674859395.4154,4339,4050,1674859395414.3333,0.0039049932007462706,0.003906997277885256,0.014509990454297787,0.0027899986084350074,-1.3451334953303492e-16,-0.0005550013549839482
258.9055,66.41454999999999,-143.04250000000005,371.3075,-137.4055,-133.33100000000002,0.13091305369222433,0.15252166469707196,1674859395.4485,4340,4051,1674859395447.6667,0.0011200067993131701,0.003349000002481278,0.011720004077277612,0.002230001342796824,-0.0005599972656383177,-0.0005550013549839482
258.905,66.52615,-142.5405,371.3635,-137.461,-133.22,0.13433449354950228,0.1504546319168795,1674859395.4816,4341,4052,1674859395481.0,-0.0011199986694512135,0.003348000000039975,0.012275005432261907,0.002230001342796824,-0.0016749999878132825,0.0011100027099678006
